REPORT 90 E-4,,,,,,,,,,
Population Estimates for California State and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
  Incorporated," 3,060 "," 3,160 "," 3,190 "," 3,290 "," 3,250 "," 3,190 "," 3,100 "," 3,010 "," 3,000 "," 3,190 "
  Unincorporated," 5,775 "," 5,925 "," 6,125 "," 6,175 "," 6,225 "," 6,125 "," 6,100 "," 6,175 "," 6,325 "," 6,400 "
,,,,,,,,,,
MONO," 8,800 "," 9,100 "," 9,250 "," 9,000 "," 8,800 "," 8,800 "," 8,825 "," 8,975 "," 9,200 "," 9,750 "
  Mammoth Lakes, (1), (1), (1), (1)," 4,420 "," 4,390 "," 4,260 "," 4,360 "," 4,300 "," 4,760 "
  Incorporated, (1), (1), (1), (1)," 4,420 "," 4,390 "," 4,260 "," 4,360 "," 4,300 "," 4,760 "
  Unincorporated," 8,800 "," 9,100 "," 9,250 "," 9,000 "," 4,380 "," 4,420 "," 4,560 "," 4,610 "," 4,890 "," 4,990 "
,,,,,,,,,,
MONTEREY," 296,500 "," 303,000 "," 310,900 "," 318,400 "," 324,000 "," 330,600 "," 335,800 "," 340,600 "," 344,100 "," 353,400 "
  Carmel-By-The-Sea," 4,670 "," 4,610 "," 4,590 "," 4,510 "," 4,500 "," 4,450 "," 4,370 "," 4,320 "," 4,230 "," 4,250 "
  Del Rey Oaks," 1,550 "," 1,530 "," 1,530 "," 1,500 "," 1,480 "," 1,450 "," 1,410 "," 1,400 "," 1,590 "," 1,670 "
  Gonzales," 2,980 "," 3,090 "," 3,270 "," 3,450 "," 3,590 "," 3,850 "," 4,240 "," 4,230 "," 4,360 "," 4,580 "
  Greenfield," 4,450 "," 4,550 "," 4,760 "," 4,830 "," 5,225 "," 5,725 "," 6,075 "," 6,525 "," 6,750 "," 7,450 "
  King City," 5,650 "," 5,750 "," 6,075 "," 6,425 "," 6,650 "," 6,925 "," 7,050 "," 7,275 "," 7,425 "," 7,525 "
  Marina," 21,000 "," 22,950 "," 24,900 "," 25,750 "," 24,800 "," 24,850 "," 24,550 "," 24,800 "," 25,950 "," 27,550 "
  Monterey," 28,200 "," 28,150 "," 28,800 "," 29,150 "," 29,600 "," 30,050 "," 30,600 "," 30,800 "," 31,250 "," 31,800 "
  Pacific Grove," 15,950 "," 15,950 "," 16,050 "," 16,000 "," 16,000 "," 15,950 "," 16,000 "," 16,100 "," 16,100 "," 16,050 "
  Salinas," 82,700 "," 85,300 "," 87,600 "," 91,100 "," 94,600 "," 98,300 "," 100,800 "," 103,900 "," 105,400 "," 107,600 "
  Sand City, 180 , 180 , 190 , 180 , 190 , 220 , 220 , 210 , 210 , 190 
  Seaside," 37,350 "," 36,900 "," 37,000 "," 37,100 "," 37,250 "," 37,400 "," 37,600 "," 38,100 "," 37,200 "," 38,950 "
  Soledad," 5,950 "," 6,050 "," 6,250 "," 6,275 "," 6,350 "," 6,525 "," 6,550 "," 6,625 "," 6,650 "," 7,025 "
  Incorporated," 210,600 "," 215,000 "," 221,000 "," 226,300 "," 230,200 "," 235,600 "," 239,400 "," 244,100 "," 247,100 "," 254,700 "
  Unincorporated," 85,900 "," 88,000 "," 89,900 "," 92,100 "," 93,800 "," 94,900 "," 96,400 "," 96,500 "," 97,100 "," 98,700 "
,,,,,,,,,,
NAPA," 99,600 "," 100,600 "," 101,400 "," 101,800 "," 102,500 "," 103,600 "," 104,600 "," 105,500 "," 107,100 "," 109,900 "
  Calistoga," 3,950 "," 3,980 "," 4,040 "," 4,060 "," 4,090 "," 4,200 "," 4,350 "," 4,400 "," 4,410 "," 4,450 "
  Napa," 52,000 "," 52,800 "," 53,400 "," 54,400 "," 55,500 "," 56,300 "," 57,500 "," 58,600 "," 59,700 "," 61,400 "
  St Helena," 4,950 "," 4,980 "," 5,125 "," 5,050 "," 5,000 "," 5,075 "," 4,950 "," 4,990 "," 5,000 "," 4,980 "
  Yountville," 2,850 "," 3,000 "," 3,040 "," 3,040 "," 3,130 "," 3,110 "," 3,170 "," 3,070 "," 3,060 "," 3,230 "
  Incorporated," 63,700 "," 64,800 "," 65,600 "," 66,500 "," 67,800 "," 68,700 "," 70,000 "," 71,100 "," 72,100 "," 74,000 "
  Unincorporated," 35,900 "," 35,800 "," 35,750 "," 35,300 "," 34,750 "," 34,850 "," 34,600 "," 34,450 "," 35,000 "," 35,900 "
,,,,,,,,,,
NEVADA," 54,200 "," 57,400 "," 59,600 "," 61,300 "," 63,500 "," 65,900 "," 68,500 "," 71,400 "," 74,100 "," 77,500 "
  Grass Valley," 7,025 "," 7,325 "," 7,425 "," 7,450 "," 7,750 "," 7,850 "," 7,975 "," 8,125 "," 8,375 "," 8,850 "
  Nevada City," 2,400 "," 2,380 "," 2,360 "," 2,470 "," 2,660 "," 2,720 "," 2,740 "," 2,760 "," 2,790 "," 2,860 "
  Incorporated," 9,425 "," 9,700 "," 9,800 "," 9,925 "," 10,400 "," 10,550 "," 10,700 "," 10,900 "," 11,150 "," 11,700 "
  Unincorporated," 44,800 "," 47,750 "," 49,850 "," 51,400 "," 53,100 "," 55,300 "," 57,800 "," 60,500 "," 62,900 "," 65,700 "
,,,,,,,,,,
ORANGE," 1,974,600 "," 2,024,200 "," 2,065,300 "," 2,103,300 "," 2,143,600 "," 2,193,200 "," 2,243,500 "," 2,292,300 "," 2,344,200 "," 2,398,400 "
  Anaheim," 223,700 "," 227,400 "," 234,600 "," 239,900 "," 244,400 "," 247,200 "," 252,700 "," 254,700 "," 258,700 "," 264,500 "
  Brea," 30,050 "," 31,100 "," 31,300 "," 31,600 "," 31,900 "," 32,300 "," 32,350 "," 31,800 "," 32,700 "," 32,950 "
  Buena Park," 64,400 "," 64,500 "," 65,300 "," 66,000 "," 66,200 "," 66,700 "," 66,800 "," 67,200 "," 67,700 "," 68,400 "
  Costa Mesa," 83,800 "," 85,200 "," 86,200 "," 86,500 "," 87,200 "," 88,600 "," 90,200 "," 92,500 "," 93,900 "," 95,600 "
  Cypress," 40,500 "," 40,550 "," 42,150 "," 41,900 "," 41,500 "," 41,250 "," 41,000 "," 40,650 "," 42,550 "," 42,650 "
  Dana Point, (1), (1), (1), (1), (1), (1), (1), (1)," 29,950 "," 31,400 "
  Fountain Valley," 54,700 "," 54,500 "," 54,300 "," 54,200 "," 54,100 "," 53,600 "," 53,600 "," 53,300 "," 53,700 "," 53,800 "
  Fullerton," 103,100 "," 105,100 "," 106,400 "," 108,400 "," 109,400 "," 110,500 "," 111,200 "," 111,700 "," 113,500 "," 113,900 "
  Garden Grove," 126,700 "," 128,300 "," 130,600 "," 132,700 "," 134,800 "," 136,900 "," 138,600 "," 139,200 "," 141,000 "," 142,400 "
  Huntington Beach," 173,300 "," 175,000 "," 176,400 "," 176,300 "," 176,200 "," 178,000 "," 178,800 "," 178,300 "," 178,900 "," 181,100 "
  Irvine," 66,000 "," 72,100 "," 75,300 "," 79,400 "," 84,400 "," 92,100 "," 98,700 "," 103,000 "," 106,800 "," 109,700 "
  Laguna Beach," 17,900 "," 18,050 "," 18,100 "," 17,950 "," 17,900 "," 17,800 "," 17,750 "," 23,000 "," 23,300 "," 23,200 "
  Laguna Hills, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1)
  Laguna Niguel, (1), (1), (1), (1), (1), (1), (1), (1), (1)," 43,000 "
  La Habra," 46,200 "," 46,950 "," 47,700 "," 48,300 "," 48,500 "," 49,050 "," 49,350 "," 49,700 "," 50,300 "," 50,900 "
  Lake Forest, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1)
  La Palma," 15,400 "," 15,450 "," 15,400 "," 15,700 "," 15,700 "," 15,650 "," 15,600 "," 15,400 "," 15,400 "," 15,400 "
  Los Alamitos," 11,550 "," 11,600 "," 11,550 "," 11,300 "," 11,400 "," 11,550 "," 11,600 "," 11,550 "," 11,550 "," 11,550 "
  Mission Viejo, (1), (1), (1), (1), (1), (1), (1), (1)," 70,300 "," 72,000 "
  Newport Beach," 64,000 "," 64,400 "," 64,900 "," 64,900 "," 64,900 "," 65,000 "," 65,100 "," 66,300 "," 66,700 "," 66,700 "
  Orange," 93,900 "," 95,600 "," 97,200 "," 98,700 "," 100,600 "," 103,000 "," 104,500 "," 106,200 "," 108,300 "," 110,100 "
  Placentia," 35,550 "," 36,750 "," 37,100 "," 37,200 "," 37,300 "," 37,850 "," 38,400 "," 40,200 "," 40,800 "," 41,250 "
  San Clemente," 27,850 "," 28,400 "," 29,100 "," 29,700 "," 30,600 "," 32,150 "," 35,200 "," 37,600 "," 39,400 "," 40,800 "
  San Juan Capistrano," 19,750 "," 20,550 "," 21,150 "," 21,800 "," 22,250 "," 22,900 "," 24,100 "," 24,800 "," 25,100 "," 26,000 "
  Santa Ana," 212,000 "," 224,000 "," 233,500 "," 243,100 "," 250,600 "," 258,700 "," 265,300 "," 274,600 "," 287,300 "," 292,200 "
  Seal Beach," 25,900 "," 25,750 "," 25,600 "," 25,600 "," 26,000 "," 26,050 "," 25,800 "," 25,400 "," 25,350 "," 25,150 "
  Stanton," 24,800 "," 25,750 "," 26,650 "," 27,100 "," 28,800 "," 29,000 "," 29,300 "," 29,650 "," 30,050 "," 30,350 "
  Tustin," 37,700 "," 38,750 "," 40,250 "," 40,850 "," 41,750 "," 43,500 "," 43,800 "," 46,400 "," 47,900 "," 50,800 "
  Villa Park," 7,075 "," 7,050 "," 6,975 "," 6,875 "," 6,725 "," 6,550 "," 6,450 "," 6,325 "," 6,325 "," 6,275 "
  Westminster," 71,900 "," 72,700 "," 73,700 "," 74,600 "," 74,900 "," 75,700 "," 76,200 "," 77,000 "," 77,300 "," 78,000 "
  Yorba Linda," 29,650 "," 31,200 "," 31,900 "," 33,750 "," 36,100 "," 38,750 "," 42,000 "," 45,250 "," 47,250 "," 51,800 "
  Incorporated," 1,707,500 "," 1,746,600 "," 1,783,100 "," 1,814,400 "," 1,844,000 "," 1,880,300 "," 1,914,400 "," 1,951,600 "," 2,092,000 "," 2,172,000 "
  Unincorporated," 267,100 "," 277,700 "," 282,200 "," 288,800 "," 299,600 "," 312,900 "," 329,100 "," 340,700 "," 252,200 "," 226,400 "
,,,,,,,,,,
PLACER," 120,700 "," 125,000 "," 128,400 "," 132,000 "," 136,500 "," 141,500 "," 147,400 "," 154,000 "," 161,000 "," 170,100 "
  Auburn," 7,700 "," 7,975 "," 8,225 "," 8,475 "," 8,725 "," 8,675 "," 9,125 "," 9,400 "," 10,000 "," 10,500 "
  Colfax," 1,030 "," 1,060 "," 1,080 "," 1,110 "," 1,140 "," 1,150 "," 1,180 "," 1,230 "," 1,280 "," 1,310 "
  Lincoln," 4,270 "," 4,460 "," 4,690 "," 5,175 "," 5,400 "," 5,600 "," 6,450 "," 6,750 "," 6,900 "," 7,125 "
  Loomis, (1), (1), (1), (1)," 4,650 "," 4,990 "," 5,400 "," 5,525 "," 5,550 "," 5,675 "
  Rocklin," 7,600 "," 8,250 "," 8,725 "," 9,250 "," 10,050 "," 10,850 "," 13,500 "," 15,200 "," 16,750 "," 18,200 "
  Roseville," 25,150 "," 25,900 "," 26,450 "," 27,400 "," 28,000 "," 30,450 "," 32,750 "," 36,100 "," 39,300 "," 43,700 "
  Incorporated," 45,750 "," 47,650 "," 49,150 "," 51,400 "," 58,000 "," 61,700 "," 68,500 "," 74,200 "," 79,800 "," 86,500 "
  Unincorporated," 75,000 "," 77,400 "," 79,300 "," 80,600 "," 78,600 "," 79,800 "," 78,900 "," 79,800 "," 81,100 "," 83,600 "
,,,,,,,,,,
PLUMAS," 17,600 "," 18,000 "," 18,100 "," 18,100 "," 18,350 "," 18,650 "," 18,800 "," 19,150 "," 19,300 "," 19,600 "
  Portola," 1,920 "," 1,960 "," 1,970 "," 1,940 "," 2,040 "," 2,040 "," 2,030 "," 2,040 "," 2,070 "," 2,170 "
  Incorporated," 1,920 "," 1,960 "," 1,970 "," 1,940 "," 2,040 "," 2,040 "," 2,030 "," 2,040 "," 2,070 "," 2,170 "
  Unincorporated," 15,650 "," 16,050 "," 16,150 "," 16,150 "," 16,350 "," 16,600 "," 16,750 "," 17,100 "," 17,250 "," 17,450 "
,,,,,,,,,,
RIVERSIDE," 683,600 "," 711,800 "," 740,800 "," 774,500 "," 815,100 "," 862,700 "," 919,600 "," 983,800 "," 1,057,200 "," 1,144,400 "
  Banning," 14,450 "," 14,650 "," 15,150 "," 15,500 "," 16,050 "," 16,600 "," 16,700 "," 17,350 "," 18,650 "," 19,950 "
  Beaumont," 6,925 "," 7,225 "," 7,475 "," 7,475 "," 7,525 "," 7,625 "," 7,800 "," 8,275 "," 8,875 "," 9,525 "
  Blythe," 6,875 "," 7,000 "," 7,150 "," 7,525 "," 7,675 "," 7,775 "," 7,825 "," 8,100 "," 8,175 "," 8,325 "
  Calimesa, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1)
  Canyon Lake, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1)
  Cathedral City, (1)," 11,900 "," 12,450 "," 14,100 "," 15,000 "," 17,800 "," 22,000 "," 25,000 "," 27,000 "," 29,050 "
  Coachella," 9,825 "," 11,200 "," 11,850 "," 12,800 "," 13,550 "," 13,950 "," 14,900 "," 15,600 "," 16,200 "," 16,600 "
  Corona," 38,500 "," 40,100 "," 41,750 "," 43,400 "," 45,750 "," 47,300 "," 50,100 "," 55,600 "," 64,800 "," 73,300 "
  Desert Hot Springs," 6,425 "," 6,975 "," 7,475 "," 7,775 "," 8,050 "," 8,500 "," 9,400 "," 10,800 "," 11,050 "," 11,550 "
  Hemet," 23,050 "," 24,800 "," 25,600 "," 26,650 "," 28,400 "," 29,400 "," 30,550 "," 32,300 "," 33,500 "," 35,350 "
  Indian Wells," 1,500 "," 1,590 "," 1,780 "," 1,840 "," 1,960 "," 2,030 "," 2,210 "," 2,360 "," 2,490 "," 2,570 "
  Indio," 23,000 "," 23,900 "," 25,400 "," 26,800 "," 28,400 "," 29,700 "," 31,000 "," 33,050 "," 34,150 "," 35,400 "
  Lake Elsinore," 6,450 "," 7,800 "," 8,525 "," 9,325 "," 10,450 "," 12,200 "," 13,800 "," 14,550 "," 16,900 "," 17,900 "
  La Quinta, (1), (1)," 5,625 "," 6,425 "," 6,875 "," 7,175 "," 7,975 "," 8,800 "," 9,450 "," 10,650 "
  Moreno Valley, (1), (1), (1), (1)," 58,300 "," 66,400 "," 81,100 "," 92,500 "," 103,100 "," 115,500 "
  Murietta, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1)
  Norco," 19,650 "," 20,150 "," 20,650 "," 21,300 "," 21,350 "," 21,650 "," 22,700 "," 23,100 "," 23,400 "," 23,100 "
  Palm Desert," 12,600 "," 13,650 "," 14,650 "," 15,650 "," 16,650 "," 17,950 "," 18,900 "," 20,250 "," 21,800 "," 22,750 "
  Palm Springs," 32,300 "," 32,400 "," 33,050 "," 33,300 "," 32,000 "," 31,100 "," 33,000 "," 35,400 "," 37,750 "," 39,500 "
  Perris," 7,200 "," 7,800 "," 8,275 "," 9,250 "," 10,150 "," 11,150 "," 12,950 "," 14,300 "," 17,300 "," 21,050 "
  Rancho Mirage," 6,500 "," 6,850 "," 7,100 "," 7,425 "," 7,775 "," 8,150 "," 8,500 "," 8,925 "," 9,325 "," 9,600 "
  Riverside," 172,100 "," 173,300 "," 178,100 "," 183,900 "," 188,900 "," 196,800 "," 205,400 "," 212,600 "," 216,600 "," 223,300 "
  San Jacinto," 7,525 "," 8,075 "," 8,450 "," 9,075 "," 10,150 "," 10,700 "," 12,050 "," 13,500 "," 14,100 "," 15,500 "
  Temecula, (1), (1), (1), (1), (1), (1), (1), (1), (1)," 25,300 "
  Incorporated," 394,900 "," 419,400 "," 440,500 "," 459,500 "," 535,000 "," 564,000 "," 608,800 "," 652,300 "," 694,600 "," 765,800 "
  Unincorporated," 288,800 "," 292,400 "," 300,200 "," 315,000 "," 280,200 "," 298,700 "," 310,800 "," 331,500 "," 362,600 "," 378,600 "
,,,,,,,,,,
SACRAMENTO," 797,000 "," 819,600 "," 842,500 "," 861,400 "," 880,600 "," 904,800 "," 934,700 "," 967,000 "," 996,500 "," 1,031,500 "
  Folsom," 11,000 "," 12,300 "," 13,350 "," 14,450 "," 15,600 "," 16,800 "," 20,400 "," 23,450 "," 25,800 "," 29,700 "
  Galt," 5,575 "," 5,900 "," 6,275 "," 6,325 "," 6,575 "," 6,850 "," 7,250 "," 7,450 "," 7,900 "," 8,775 "
  Isleton, 910 , 900 , 920 , 890 , 880 , 870 , 850 , 860 , 850 , 850 
  Sacramento," 282,400 "," 292,600 "," 302,300 "," 311,700 "," 319,700 "," 329,600 "," 340,600 "," 351,000 "," 359,300 "," 366,500 "
  Incorporated," 299,800 "," 311,700 "," 322,900 "," 333,400 "," 342,800 "," 354,200 "," 369,200 "," 382,800 "," 393,800 "," 405,900 "
  Unincorporated," 497,100 "," 507,900 "," 519,600 "," 528,000 "," 537,800 "," 550,600 "," 565,600 "," 584,300 "," 602,600 "," 625,700 "
,,,,,,,,,,
SAN BENITO," 25,500 "," 26,350 "," 27,150 "," 28,050 "," 29,250 "," 30,700 "," 32,050 "," 33,400 "," 34,950 "," 36,400 "
  Hollister," 12,000 "," 12,650 "," 13,450 "," 14,100 "," 14,950 "," 16,050 "," 16,950 "," 17,550 "," 18,400 "," 19,000 "
  San Juan Bautista," 1,280 "," 1,280 "," 1,280 "," 1,300 "," 1,360 "," 1,380 "," 1,400 "," 1,480 "," 1,570 "," 1,570 "
  Incorporated," 13,300 "," 13,950 "," 14,700 "," 15,400 "," 16,300 "," 17,400 "," 18,350 "," 19,000 "," 19,950 "," 20,550 "
  Unincorporated," 12,200 "," 12,400 "," 12,450 "," 12,650 "," 12,950 "," 13,250 "," 13,700 "," 14,350 "," 15,000 "," 15,850 "
,,,,,,,,,,
SAN BERNARDINO," 917,600 "," 949,700 "," 978,900 "," 1,007,900 "," 1,044,500 "," 1,094,400 "," 1,155,400 "," 1,229,300 "," 1,311,100 "," 1,396,600 "
  Adelanto," 2,430 "," 2,890 "," 3,310 "," 3,980 "," 4,830 "," 5,575 "," 6,075 "," 6,550 "," 7,575 "," 8,250 "
  Apple Valley, (1), (1), (1), (1), (1), (1), (1), (1)," 41,900 "," 44,800 "
  Barstow," 17,650 "," 18,050 "," 18,550 "," 18,850 "," 19,050 "," 19,400 "," 19,950 "," 20,000 "," 20,150 "," 21,150 "
  Big Bear Lake," 4,860 "," 4,850 "," 5,000 "," 5,375 "," 5,425 "," 5,425 "," 5,400 "," 5,175 "," 5,250 "," 5,375 "
  Chino," 41,600 "," 42,500 "," 44,000 "," 45,900 "," 48,000 "," 49,350 "," 51,400 "," 55,900 "," 56,700 "," 59,300 "
  Chino Hills, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1)
  Colton," 21,600 "," 22,100 "," 22,600 "," 23,400 "," 24,750 "," 27,700 "," 31,750 "," 33,500 "," 37,600 "," 39,400 "
  Fontana," 39,550 "," 42,850 "," 43,850 "," 45,000 "," 48,250 "," 52,200 "," 59,000 "," 68,700 "," 76,300 "," 85,100 "
  Grand Terrace," 8,675 "," 8,800 "," 9,300 "," 9,525 "," 9,650 "," 9,675 "," 9,575 "," 9,650 "," 10,400 "," 10,750 "
  Hesperia, (1), (1), (1), (1), (1), (1), (1), (1)," 46,250 "," 49,050 "
  Highland, (1), (1), (1), (1), (1), (1), (1)," 30,500 "," 31,450 "," 33,850 "
  Loma Linda," 10,750 "," 11,100 "," 11,500 "," 11,800 "," 11,950 "," 12,750 "," 13,700 "," 14,350 "," 15,700 "," 17,000 "
  Montclair," 23,450 "," 24,350 "," 24,950 "," 25,200 "," 25,350 "," 25,850 "," 26,200 "," 26,450 "," 26,800 "," 28,050 "
  Needles," 4,110 "," 4,040 "," 4,130 "," 4,160 "," 4,400 "," 4,680 "," 4,750 "," 4,660 "," 4,850 "," 5,050 "
  Ontario," 92,100 "," 94,700 "," 100,600 "," 105,000 "," 109,100 "," 111,500 "," 115,300 "," 121,300 "," 125,600 "," 130,000 "
  Rancho Cucamonga," 55,500 "," 55,800 "," 55,100 "," 55,400 "," 58,500 "," 65,200 "," 71,300 "," 83,500 "," 90,500 "," 98,500 "
  Redlands," 44,850 "," 45,750 "," 47,200 "," 48,100 "," 48,750 "," 50,100 "," 52,600 "," 54,500 "," 57,100 "," 59,600 "
  Rialto," 41,100 "," 42,050 "," 43,200 "," 44,400 "," 47,300 "," 53,500 "," 57,000 "," 62,000 "," 64,600 "," 70,300 "
  San Bernardino," 123,200 "," 127,400 "," 130,300 "," 132,900 "," 136,600 "," 139,100 "," 143,500 "," 151,800 "," 155,300 "," 161,800 "
  Twentynine Palms, (1), (1), (1), (1), (1), (1), (1)," 11,200 "," 11,400 "," 11,750 "
  Upland," 48,650 "," 49,500 "," 50,400 "," 51,600 "," 53,500 "," 55,400 "," 57,900 "," 60,100 "," 62,200 "," 62,700 "
  Victorville," 14,950 "," 16,100 "," 17,150 "," 18,300 "," 19,500 "," 22,050 "," 23,800 "," 25,800 "," 30,350 "," 39,000 "
  Yucaipa, (1), (1), (1), (1), (1), (1), (1), (1), (1)," 32,400 "
  Yucca Valley, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1)
  Incorporated," 595,000 "," 612,800 "," 631,200 "," 648,900 "," 674,900 "," 709,500 "," 749,100 "," 845,600 "," 978,200 "," 1,073,100 "
  Unincorporated," 322,600 "," 336,900 "," 347,700 "," 359,000 "," 369,600 "," 384,900 "," 406,400 "," 383,800 "," 332,800 "," 323,500 "
,,,,,,,,,,
SAN DIEGO ," 1,902,700 "," 1,940,500 "," 1,982,000 "," 2,033,600 "," 2,080,300 "," 2,148,900 "," 2,223,600 "," 2,300,800 "," 2,388,700 "," 2,480,100 "
  Carlsbad," 35,650 "," 37,450 "," 38,600 "," 39,650 "," 43,300 "," 47,350 "," 53,400 "," 58,300 "," 61,300 "," 62,800 "
  Chula Vista," 84,600 "," 87,000 "," 88,800 "," 90,100 "," 91,400 "," 117,400 "," 121,600 "," 126,000 "," 130,100 "," 134,200 "
  Coronado," 18,800 "," 20,500 "," 20,450 "," 20,300 "," 20,550 "," 20,350 "," 25,700 "," 24,850 "," 26,000 "," 28,500 "
  Del Mar," 5,050 "," 4,910 "," 4,940 "," 4,990 "," 4,960 "," 4,840 "," 4,760 "," 4,810 "," 4,780 "," 4,830 "
  El Cajon," 75,400 "," 77,600 "," 78,900 "," 80,300 "," 81,700 "," 82,500 "," 84,300 "," 85,900 "," 87,800 "," 88,300 "
  Encinitas, (1), (1), (1), (1), (1), (1)," 50,500 "," 51,700 "," 52,900 "," 54,900 "
  Escondido," 66,000 "," 70,500 "," 72,500 "," 74,400 "," 76,100 "," 79,900 "," 87,400 "," 95,600 "," 101,600 "," 107,400 "
  Imperial Beach," 22,900 "," 23,400 "," 23,350 "," 23,700 "," 24,150 "," 24,450 "," 24,800 "," 25,350 "," 25,650 "," 26,300 "
  La Mesa," 50,500 "," 51,500 "," 52,600 "," 52,900 "," 52,600 "," 51,900 "," 51,100 "," 51,200 "," 51,700 "," 52,700 "
  Lemon Grove," 20,850 "," 21,550 "," 21,900 "," 22,400 "," 22,200 "," 22,200 "," 22,950 "," 22,900 "," 23,150 "," 23,800 "
  National City," 52,400 "," 53,800 "," 52,700 "," 53,500 "," 50,500 "," 53,800 "," 53,300 "," 53,200 "," 54,100 "," 54,100 "
  Oceanside," 78,700 "," 82,500 "," 84,900 "," 88,200 "," 92,800 "," 97,300 "," 102,100 "," 107,800 "," 117,600 "," 126,100 "
  Poway," 33,550 "," 33,900 "," 34,650 "," 35,400 "," 36,050 "," 37,300 "," 38,500 "," 40,150 "," 41,800 "," 43,000 "
  San Diego," 886,100 "," 900,400 "," 923,500 "," 950,200 "," 970,100 "," 995,900 "," 1,019,400 "," 1,044,100 "," 1,073,200 "," 1,102,900 "
  San Marcos," 17,950 "," 18,600 "," 19,300 "," 19,750 "," 20,650 "," 21,400 "," 23,600 "," 26,550 "," 34,150 "," 37,900 "
  Santee," 40,400 "," 42,650 "," 44,450 "," 45,450 "," 47,850 "," 48,900 "," 49,900 "," 50,900 "," 51,300 "," 52,600 "
  Solana Beach, (1), (1), (1), (1), (1), (1)," 13,100 "," 13,000 "," 13,050 "," 12,950 "
  Vista," 37,650 "," 39,550 "," 41,250 "," 42,550 "," 45,250 "," 48,100 "," 52,200 "," 58,500 "," 64,200 "," 70,700 "
  Incorporated," 1,526,600 "," 1,565,700 "," 1,602,900 "," 1,643,700 "," 1,680,200 "," 1,753,500 "," 1,878,500 "," 1,940,700 "," 2,014,400 "," 2,084,000 "
  Unincorporated," 376,100 "," 374,800 "," 379,100 "," 389,900 "," 400,200 "," 395,400 "," 345,100 "," 360,100 "," 374,300 "," 396,100 "
,,,,,,,,,,
SAN FRANCISCO," 684,000 "," 691,200 "," 699,800 "," 708,700 "," 720,400 "," 732,900 "," 736,700 "," 733,300 "," 727,500 "," 724,100 "
  San Francisco," 684,000 "," 691,200 "," 699,800 "," 708,700 "," 720,400 "," 732,900 "," 736,700 "," 733,300 "," 727,500 "," 724,100 "
  Incorporated," 684,000 "," 691,200 "," 699,800 "," 708,700 "," 720,400 "," 732,900 "," 736,700 "," 733,300 "," 727,500 "," 724,100 "
,,,,,,,,,,
SAN JOAQUIN," 356,200 "," 368,300 "," 380,600 "," 393,300 "," 408,600 "," 425,400 "," 441,600 "," 454,800 "," 466,300 "," 477,700 "
  Escalon," 3,240 "," 3,320 "," 3,390 "," 3,480 "," 3,490 "," 3,660 "," 3,810 "," 4,120 "," 4,220 "," 4,370 "
  Lathrop, (1), (1), (1), (1), (1), (1), (1), (1), (1)," 6,775 "
  Lodi," 35,650 "," 37,000 "," 38,350 "," 40,050 "," 41,200 "," 43,850 "," 46,750 "," 49,000 "," 50,400 "," 51,900 "
  Manteca," 25,650 "," 26,900 "," 27,550 "," 28,950 "," 31,700 "," 34,500 "," 36,500 "," 37,450 "," 39,200 "," 40,600 "
  Ripon," 3,730 "," 3,890 "," 3,960 "," 4,360 "," 4,800 "," 5,575 "," 6,100 "," 6,675 "," 7,075 "," 7,425 "
  Stockton," 153,900 "," 160,900 "," 167,900 "," 173,300 "," 182,600 "," 188,500 "," 193,700 "," 199,600 "," 204,400 "," 209,700 "
  Tracy," 19,250 "," 19,950 "," 20,500 "," 21,600 "," 23,150 "," 24,750 "," 26,450 "," 28,050 "," 29,000 "," 32,450 "
  Incorporated," 241,500 "," 251,900 "," 261,600 "," 271,700 "," 287,000 "," 300,800 "," 313,300 "," 324,900 "," 334,300 "," 353,200 "
  Unincorporated," 114,700 "," 116,400 "," 119,000 "," 121,600 "," 121,600 "," 124,600 "," 128,300 "," 129,900 "," 132,000 "," 124,500 "
,,,,,,,,,,
SAN LUIS OBISPO," 159,200 "," 164,000 "," 168,300 "," 173,500 "," 179,900 "," 187,800 "," 193,900 "," 198,900 "," 205,800 "," 215,000 "
  Arroyo Grande," 11,650 "," 11,850 "," 12,000 "," 12,500 "," 12,850 "," 12,850 "," 12,900 "," 13,000 "," 13,250 "," 14,200 "
  Atascadero," 16,550 "," 17,150 "," 17,650 "," 18,100 "," 18,900 "," 19,700 "," 20,750 "," 21,650 "," 22,150 "," 22,900 "
  El Paso De Robles," 9,825 "," 10,750 "," 11,200 "," 12,150 "," 13,100 "," 14,400 "," 15,550 "," 16,200 "," 17,200 "," 18,350 "
  Grover City," 8,950 "," 9,075 "," 9,300 "," 9,750 "," 9,975 "," 10,250 "," 10,750 "," 10,950 "," 11,400 "," 11,700 "
