REPORT 90 E-4,,,,,,,,,,
Population Estimates for California State and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
  Incorporated," 992,800 "," 1,005,700 "," 1,038,600 "," 1,057,000 "," 1,070,100 "," 1,090,400 "," 1,105,000 "," 1,125,000 "," 1,142,900 "," 1,154,800 "
  Unincorporated," 125,000 "," 128,200 "," 113,200 "," 113,400 "," 115,400 "," 116,400 "," 115,600 "," 117,300 "," 118,300 "," 119,900 "
,,,,,,,,,,
ALPINE," 1,090 "," 1,110 "," 1,120 "," 1,080 "," 1,100 "," 1,140 "," 1,130 "," 1,100 "," 1,090 "," 1,100 "
  Unincorporated," 1,090 "," 1,110 "," 1,120 "," 1,080 "," 1,100 "," 1,140 "," 1,130 "," 1,100 "," 1,090 "," 1,100 "
,,,,,,,,,,
AMADOR," 19,800 "," 20,250 "," 20,600 "," 21,050 "," 21,800 "," 22,450 "," 23,300 "," 25,750 "," 27,600 "," 29,600 "
  Amador, 140 , 140 , 140 , 140 , 150 , 150 , 160 , 170 , 190 , 200 
  Ione," 2,240 "," 2,270 "," 2,310 "," 2,310 "," 2,530 "," 2,490 "," 2,690 "," 4,400 "," 5,425 "," 6,450 "
  Jackson," 2,280 "," 2,440 "," 2,420 "," 2,530 "," 2,580 "," 2,890 "," 3,060 "," 3,120 "," 3,340 "," 3,510 "
  Plymouth, 700 , 660 , 650 , 640 , 620 , 680 , 710 , 760 , 780 , 810 
  Sutter Creek," 1,690 "," 1,620 "," 1,590 "," 1,570 "," 1,570 "," 1,610 "," 1,710 "," 1,720 "," 1,700 "," 1,740 "
  Incorporated," 7,050 "," 7,125 "," 7,100 "," 7,175 "," 7,450 "," 7,825 "," 8,325 "," 10,150 "," 11,450 "," 12,700 "
  Unincorporated," 12,750 "," 13,100 "," 13,500 "," 13,900 "," 14,350 "," 14,650 "," 15,000 "," 15,600 "," 16,150 "," 16,900 "
,,,,,,,,,,
BUTTE," 146,800 "," 150,700 "," 153,800 "," 156,600 "," 159,700 "," 163,000 "," 166,200 "," 170,800 "," 175,200 "," 180,400 "
