,"Table 2: E-4 Population Estimates for Cities, Counties, and State",,,,,,,,
,2011-2018 with 2010 Benchmark,,,,,,,,
,,,,,,,,,
COUNTY/CITY,4/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16,1/1/17,1/1/18
,,,,,,,,,
California,,,,,,,,,
County Total,"44,900","44,964","44,841","44,825","44,809","44,731","44,718","44,615","44,612"
,,,,,,,,,
Solano County,,,,,,,,,
Benicia             ,"26,997","26,533","26,695","26,835","27,004","27,216","27,245","27,452","27,499"
Dixon               ,"18,351","18,286","18,438","18,550","19,039","19,239","19,379","19,674","19,896"
Fairfield           ,"105,321","106,178","107,816","109,408","110,909","112,182","113,173","115,346","116,156"
Rio Vista           ,"7,360","7,412","7,499","7,654","7,955","8,209","8,509","8,893","9,188"
Suisun City         ,"28,111","27,977","28,013","28,195","28,418","28,869","28,963","29,152","29,192"
Vacaville           ,"92,428","92,622","92,742","92,974","93,496","94,284","95,800","97,736","98,977"
Vallejo             ,"115,942","115,607","115,958","116,608","117,352","117,844","118,503","118,851","119,252"
Balance Of County    ,"18,834","18,912","18,972","19,048","19,198","19,305","19,335","19,536","19,633"
Incorporated,"394,510","394,615","397,161","400,224","404,173","407,843","411,572","417,104","420,160"
County Total,"413,344","413,527","416,133","419,272","423,371","427,148","430,907","436,640","439,793"
,,,,,,,,,
Sonoma County,,,,,,,,,
Cloverdale          ,"8,618","8,609","8,663","8,724","8,774","8,893","8,927","8,988","9,134"
Cotati              ,"7,265","7,292","7,285","7,306","7,320","7,371","7,376","7,453","7,716"
Healdsburg          ,"11,254","11,290","11,330","11,414","11,540","11,707","11,734","11,757","12,061"
Petaluma            ,"57,941","58,011","58,527","59,327","60,076","60,953","61,488","61,657","62,708"
Rohnert Park        ,"40,794","40,794","41,124","41,433","41,689","42,325","42,586","42,490","43,598"
Santa Rosa          ,"167,815","168,766","170,339","171,971","173,611","175,693","176,937","178,064","178,488"
Sebastopol          ,"7,379","7,403","7,421","7,469","7,521","7,593","7,609","7,624","7,786"
Sonoma              ,"10,648","10,643","10,632","10,672","10,785","10,906","10,929","11,072","11,390"
Windsor             ,"26,801","26,460","26,712","26,882","27,077","27,364","27,445","27,492","28,060"
Balance Of County    ,"145,363","146,270","145,921","146,782","147,471","147,278","147,444","148,016","142,391"
Incorporated,"338,515","339,268","342,033","345,198","348,393","352,805","355,031","356,597","360,941"
County Total,"483,878","485,538","487,954","491,980","495,864","500,083","502,475","504,613","503,332"
,,,,,,,,,
Stanislaus County,,,,,,,,,
Ceres               ,"45,417","45,601","45,671","46,054","46,317","46,515","46,923","47,755","48,326"
Hughson             ,"6,640","6,733","6,799","6,934","7,057","7,102","7,190","7,463","7,738"
Modesto             ,"201,165","199,878","202,259","205,282","207,104","209,296","211,675","214,181","215,692"
Newman              ,"10,224","10,634","10,726","10,798","10,864","10,932","11,130","11,471","11,801"
Oakdale             ,"20,675","21,000","21,093","21,354","21,628","21,851","22,259","22,816","23,324"
Patterson           ,"20,413","20,672","20,662","20,939","21,172","21,604","22,123","22,395","22,679"
Riverbank           ,"22,678","23,283","23,347","23,542","23,707","23,830","24,154","24,934","25,244"
Turlock             ,"68,549","69,362","70,254","70,820","71,418","72,454","73,409","74,392","74,730"
Waterford           ,"8,456","8,605","8,676","8,741","8,801","8,872","8,957","9,074","9,149"
Balance Of County    ,"110,236","111,860","112,188","111,280","111,782","112,449","113,186","115,495","116,941"
Incorporated,"404,217","405,768","409,487","414,464","418,068","422,456","427,820","434,481","438,683"
County Total,"514,453","517,628","521,675","525,744","529,850","534,905","541,006","549,976","555,624"
,,,,,,,,,
Sutter County,,,,,,,,,
Live Oak            ,"8,392","8,533","8,250","8,303","8,454","8,422","8,416","8,685","8,781"
Yuba City           ,"64,925","64,889","65,216","65,674","65,848","66,923","67,129","67,160","67,280"
Balance Of County    ,"21,420","21,689","21,647","21,744","21,734","21,045","21,069","21,074","21,177"
Incorporated,"73,317","73,422","73,466","73,977","74,302","75,345","75,545","75,845","76,061"
County Total,"94,737","95,111","95,113","95,721","96,036","96,390","96,614","96,919","97,238"
,,,,,,,,,
Tehama County,,,,,,,,,
Corning             ,"7,663","7,538","7,559","7,547","7,545","7,566","7,579","7,541","7,515"
Red Bluff           ,"14,076","13,909","13,956","13,978","13,943","13,907","13,856","13,856","13,858"
Tehama              ,418,408,410,412,415,428,434,432,430
Balance Of County    ,"41,306","41,674","41,665","41,704","41,840","41,938","42,077","42,120","42,236"
Incorporated,"22,157","21,855","21,925","21,937","21,903","21,901","21,869","21,829","21,803"
County Total,"63,463","63,529","63,590","63,641","63,743","63,839","63,946","63,949","64,039"
,,,,,,,,,
Trinity County,,,,,,,,,
County Total,"13,786","13,751","13,740","13,731","13,722","13,676","13,647","13,634","13,635"
,,,,,,,,,
Tulare County,,,,,,,,,
Dinuba              ,"21,453","21,622","22,516","23,012","23,649","24,173","24,602","24,687","24,873"
Exeter              ,"10,334","10,444","10,608","10,695","10,777","10,940","11,051","11,094","11,169"
Farmersville        ,"10,588","10,868","11,015","11,094","11,167","11,251","11,358","11,399","11,443"
Lindsay             ,"11,768","12,081","12,515","12,627","12,761","12,826","12,990","13,043","13,162"
Porterville         ,"54,165","54,826","55,582","56,029","56,350","56,935","60,055","60,114","60,798"
Tulare              ,"59,278","60,161","60,983","61,517","62,196","62,742","63,456","64,591","65,982"
Visalia             ,"124,442","125,543","126,773","128,246","129,399","130,318","132,084","133,841","136,246"
Woodlake            ,"7,279","7,313","7,327","7,598","7,633","7,636","7,659","7,711","7,786"
Balance Of County    ,"142,872","142,691","143,280","144,229","144,932","145,212","143,176","144,236","144,375"
Incorporated,"299,307","302,858","307,319","310,818","313,932","316,821","323,255","326,480","331,459"
County Total,"442,179","445,549","450,599","455,047","458,864","462,033","466,431","470,716","475,834"
,,,,,,,,,
Tuolumne County,,,,,,,,,
Sonora              ,"4,903","4,923","4,884","4,886","4,906","4,874","4,889","4,876","4,890"
Balance Of County    ,"50,462","50,336","50,107","50,052","50,176","49,790","50,063","49,849","49,850"
Incorporated,"4,903","4,923","4,884","4,886","4,906","4,874","4,889","4,876","4,890"
County Total,"55,365","55,259","54,991","54,938","55,082","54,664","54,952","54,725","54,740"
,,,,,,,,,
Ventura County,,,,,,,,,
Camarillo           ,"65,201","66,386","66,609","66,968","67,194","67,496","68,134","68,370","68,741"
Fillmore            ,"15,002","15,148","15,235","15,352","15,503","15,614","15,686","15,800","15,953"
Moorpark            ,"34,421","34,841","35,025","35,285","35,504","36,009","36,475","36,684","37,044"
Ojai                ,"7,461","7,526","7,565","7,579","7,615","7,619","7,622","7,641","7,679"
Oxnard              ,"197,899","196,916","197,793","199,235","201,672","203,825","204,877","205,489","206,499"
Port Hueneme        ,"21,723","21,635","21,916","22,408","22,796","23,276","23,704","23,711","23,929"
San Buenaventura    ,"106,433","107,345","108,256","109,954","110,473","110,752","110,870","111,085","111,269"
Santa Paula         ,"29,321","29,598","30,209","30,484","30,990","31,245","31,266","31,061","31,138"
Simi Valley         ,"124,237","125,941","126,642","127,577","128,188","128,383","128,194","128,274","128,760"
Thousand Oaks       ,"126,683","127,955","128,412","129,120","129,775","129,715","129,484","129,502","130,196"
Balance Of County    ,"94,937","96,272","96,825","97,085","97,522","97,492","97,649","98,293","97,865"
Incorporated,"728,381","733,291","737,662","743,962","749,710","753,934","756,312","757,617","761,208"
County Total,"823,318","829,563","834,487","841,047","847,232","851,426","853,961","855,910","859,073"
,,,,,,,,,
Yolo County,,,,,,,,,
Davis               ,"65,622","65,697","65,313","66,119","66,189","66,556","67,109","68,040","68,704"
West Sacramento     ,"48,744","49,750","50,043","50,762","51,062","51,763","53,333","53,610","54,163"
Winters             ,"6,624","6,709","6,862","6,913","6,898","6,902","6,927","7,130","7,292"
Woodland            ,"55,468","55,629","56,045","56,812","57,671","58,318","59,022","59,863","60,426"
Balance Of County    ,"24,391","24,951","26,224","26,607","27,000","27,539","29,022","30,030","30,685"
Incorporated,"176,458","177,785","178,263","180,606","181,820","183,539","186,391","188,643","190,585"
County Total,"200,849","202,736","204,487","207,213","208,820","211,078","215,413","218,673","221,270"
,,,,,,,,,
Yuba County,,,,,,,,,
Marysville          ,"12,072","11,963","11,978","12,038","11,971","11,875","11,814","11,829","11,883"
Wheatland           ,"3,456","3,439","3,451","3,461","3,413","3,478","3,492","3,467","3,497"
Balance Of County    ,"56,627","57,130","57,453","57,844","58,262","58,691","59,022","59,349","59,347"
Incorporated,"15,528","15,402","15,429","15,499","15,384","15,353","15,306","15,296","15,380"
County Total,"72,155","72,532","72,882","73,343","73,646","74,044","74,328","74,645","74,727"
,,,,,,,,,
,,,,,,,,,
* The City of Eastvale incorporated after the 2010 Census.  The City of Jurupa Valley incorporated in 2011.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
