,"Table 2: E-4 Population Estimates for Cities, Counties, and State",,,,,,,,
,2011-2018 with 2010 Benchmark,,,,,,,,
,,,,,,,,,
COUNTY/CITY,4/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16,1/1/17,1/1/18
,,,,,,,,,
California,,,,,,,,,
Glenn County,,,,,,,,,
Orland              ,"7,291","7,485","7,552","7,604","7,677","7,714","7,716","7,844","7,932"
Willows             ,"6,166","6,078","6,089","6,102","6,094","6,016","6,074","6,066","6,064"
Balance Of County    ,"14,665","14,671","14,671","14,718","14,726","14,834","14,849","14,820","14,800"
Incorporated,"13,457","13,563","13,641","13,706","13,771","13,730","13,790","13,910","13,996"
County Total,"28,122","28,234","28,312","28,424","28,497","28,564","28,639","28,730","28,796"
,,,,,,,,,
Humboldt County,,,,,,,,,
Arcata              ,"17,231","17,889","17,968","17,962","17,943","18,122","18,242","18,388","18,398"
Blue Lake           ,"1,253","1,281","1,278","1,280","1,281","1,299","1,306","1,301","1,280"
Eureka              ,"27,191","27,039","26,887","26,705","26,635","26,355","26,348","26,500","26,362"
Ferndale            ,"1,371","1,377","1,374","1,369","1,366","1,370","1,367","1,373","1,367"
Fortuna             ,"11,926","11,945","11,877","11,829","11,885","11,914","11,907","12,008","12,042"
Rio Dell            ,"3,368","3,375","3,344","3,337","3,333","3,326","3,322","3,355","3,348"
Trinidad            ,367,360,347,344,339,330,325,335,340
Balance Of County    ,"71,916","72,425","72,261","72,195","72,195","72,467","72,600","73,170","72,865"
Incorporated,"62,707","63,266","63,075","62,826","62,782","62,716","62,817","63,260","63,137"
County Total,"134,623","135,691","135,336","135,021","134,977","135,183","135,417","136,430","136,002"
,,,,,,,,,
Imperial County,,,,,,,,,
Brawley             ,"24,953","25,355","25,750","25,995","26,181","26,526","26,837","27,116","27,417"
Calexico            ,"38,572","38,892","39,367","39,931","40,218","40,329","40,436","40,732","41,199"
Calipatria          ,"7,705","7,655","7,963","7,080","7,483","7,387","7,486","7,537","7,488"
El Centro           ,"42,598","43,130","43,645","44,215","44,494","44,941","45,221","45,413","46,315"
Holtville           ,"5,939","5,950","6,060","6,092","6,116","6,211","6,228","6,349","6,501"
Imperial            ,"14,758","15,048","15,360","16,008","16,665","17,267","17,897","18,341","19,372"
Westmorland         ,"2,225","2,237","2,245","2,259","2,260","2,256","2,257","2,279","2,325"
Balance Of County    ,"37,778","38,073","38,543","38,599","38,589","39,652","39,657","40,154","40,007"
Incorporated,"136,750","138,267","140,390","141,580","143,417","144,917","146,362","147,767","150,617"
County Total,"174,528","176,340","178,933","180,179","182,006","184,569","186,019","187,921","190,624"
,,,,,,,,,
Inyo County,,,,,,,,,
Bishop              ,"3,879","3,884","3,903","3,906","3,915","3,929","3,949","3,937","3,922"
Balance Of County    ,"14,667","14,666","14,640","14,651","14,698","14,634","14,683","14,661","14,655"
Incorporated,"3,879","3,884","3,903","3,906","3,915","3,929","3,949","3,937","3,922"
County Total,"18,546","18,550","18,543","18,557","18,613","18,563","18,632","18,598","18,577"
,,,,,,,,,
Kern County,,,,,,,,,
Arvin               ,"19,304","19,616","20,178","20,364","20,488","20,673","21,179","21,312","21,696"
Bakersfield         ,"347,483","350,764","357,408","363,128","368,249","373,456","377,791","382,570","386,839"
California City     ,"14,120","12,917","13,598","13,555","13,614","14,495","14,307","14,619","14,875"
Delano              ,"53,041","53,103","52,141","52,186","52,422","52,399","52,576","52,953","53,276"
Maricopa            ,"1,154","1,131","1,138","1,134","1,137","1,106","1,106","1,131","1,156"
Mcfarland           ,"12,707","12,697","12,374","12,643","13,702","14,098","14,503","14,826","15,105"
Ridgecrest          ,"27,616","27,722","27,925","28,204","28,202","28,127","28,171","28,427","28,822"
Shafter             ,"16,988","17,062","16,654","16,743","16,977","17,448","17,546","18,516","19,271"
Taft                ,"9,327","9,289","8,938","8,959","8,933","9,504","9,388","9,446","9,482"
