"year","state","population","violent.crime.total","murder.and.nonnegligent.manslaughter.total","legacy.rape.total","revised.rape.total","robbery.total","aggravated.assault.total","property.crime.total","burglary.total","larceny.theft.total","motor.vehicle.theft.total","violent.nr.crime.total","aggregate.crime.total","violent.crime.rate","murder.and.nonnegligent.manslaughter.rate","legacy.rape.rate","revised.rape.rate","robbery.rate","aggravated.assault.rate","property.crime.rate","burglary.rate","larceny.theft.rate","motor.vehicle.theft.rate","violent.nr.crime.rate","aggregate.crime.rate","violent.crime.rate.chg","murder.and.nonnegligent.manslaughter.rate.chg","legacy.rape.rate.chg","revised.rape.rate.chg","robbery.rate.chg","aggravated.assault.rate.chg","property.crime.rate.chg","burglary.rate.chg","larceny.theft.rate.chg","motor.vehicle.theft.rate.chg","violent.nr.crime.rate.chg","aggregate.crime.rate.chg"
1995,"All",262754000,1798792,21606,97470,NA,580509,1099207,12063935,2593784,7997710,1472441,1701322,13765257,684.591671297107,8.22290050769922,37.09553422593,NA,220.932507212069,418.340729351409,4591.34209184256,987.153002428127,3043.80142642928,560.38766298515,647.496137071177,5238.83822891374,-28.9609385492101,-0.736886848114889,-2.16681784308722,NA,-16.8129881190543,-9.24424573895368,-68.6511477931481,-54.8549794110767,17.0741725583994,-30.870340940471,-26.794120706123,-95.4452684992712
1996,"All",265284000,1688540,19645,96252,NA,535594,1037049,11805323,2506400,7904685,1394238,1592288,13397611,636.502766846097,7.40527133185567,36.2826254127652,NA,201.894573362887,390.92029673859,4450.06973658419,944.798781683027,2979.706654001,525.564300900167,600.220141433332,5050.28987801752,-48.0889044510097,-0.817629175843545,-0.812908813164775,NA,-19.0379338491825,-27.420432612819,-141.272355258371,-42.3542207451001,-64.0947724282887,-34.8233620849823,-47.275995637845,-188.548350896216
1997,"All",267637000,1636096,18211,96153,NA,498534,1023201,11558475,2461026,7743760,1354189,1539946,13098421,611.311589952062,6.8043656146198,35.9266469135433,NA,186.272451118493,382.309247226654,4318.71340659176,919.538778270568,2893.38170731252,505.979741216648,575.386063959766,4894.09947055153,-25.1911768940352,-0.60090571723587,-0.355978499221841,NA,-15.622122244394,-8.61104951193556,-131.356329992424,-25.2600034124586,-86.3249466884786,-19.5845596835194,-24.8340774735655,-156.190407465991
1998,"All",270296000,1533887,16974,93144,NA,447186,976583,10951827,2332735,7376311,1242781,1440743,12392570,567.484165507444,6.27978216473792,34.4599994080564,NA,165.443069819753,361.301314114896,4051.79025956729,863.029789564033,2728.97527155415,459.785198449108,533.024166099387,4584.81442566668,-43.8274244446181,-0.524583449881885,-1.46664750548699,NA,-20.8293812987394,-21.0079331117577,-266.923147024475,-56.5089887065345,-164.406435758368,-46.1945427675403,-42.361897860379,-309.285044884854
1999,"All",272690813,1426044,15522,89411,NA,409371,911740,10208334,2100739,6955520,1152075,1336633,11544967,522.952711281843,5.69216096033276,32.7884166746754,NA,150.122769262491,334.349364384344,3743.5562598143,770.373954622373,2550.69832513939,422.483980052529,490.164294607167,4233.72055442146,-44.5314542256009,-0.587621204405161,-1.67158273338092,NA,-15.3203005572625,-26.9519497305523,-308.233999752993,-92.6558349416605,-178.276946414753,-37.3012183965783,-42.8598714922199,-351.093871245212
2000,"All",281421906,1425486,15586,90178,NA,408016,911706,10182584,2050992,6971590,1160002,1335308,11517892,506.529864807326,5.53830375948061,32.0437030939589,NA,144.983738401658,323.964119552228,3618.26275172765,728.796144248984,2477.27339320913,412.193214269539,474.486161713367,4092.74891344102,-16.4228464745169,-0.153857200852141,-0.744713580716571,NA,-5.13903086083263,-10.3852448321155,-125.293508086647,-41.577810373389,-73.424931930268,-10.2907657829905,-15.6781328938004,-140.971640980448
2001,"All",285317559,1439480,16037,90863,NA,423557,909023,10437189,2116531,7092267,1228391,1348617,11785806,504.518545947605,5.6207546623515,31.8462699311121,NA,148.45108078329,318.600440570852,3658.09557483281,741.815893637307,2485.74501508335,430.534666112155,472.672276016493,4130.76785084931,-2.01131885972103,0.082450902870888,-0.197433162846767,NA,3.46734238163157,-5.36367898137667,39.8328231051628,13.0197493883228,8.47162187422464,18.3414518426159,-1.81388569687414,38.0189374082897
2002,"All",287973924,1423677,16229,95235,NA,420806,891407,10455277,2151252,7057379,1246646,1328442,11783719,494.377053389042,5.63557969922304,33.0707026098655,NA,146.126424974506,309.544346105448,3630.63323747327,747.030137353686,2450.70070997123,432.902390148352,461.306350779177,4091.93958825244,-10.1414925585627,0.0148250368715424,1.22443267875337,NA,-2.32465580878394,-9.0560944654037,-27.4623373595477,5.21424371637943,-35.0443051121251,2.36772403619779,-11.3659252373162,-38.8282625968645
2003,"All",290788976,1383676,16528,93883,NA,414235,859030,10442862,2154834,7026802,1261226,1289793,11732655,475.835094931522,5.68384683193767,32.2856118176915,NA,142.45209900942,295.413537272472,3591.21660788131,741.030155145909,2416.46093213657,433.725520598828,443.54948311383,4034.76609099514,-18.5419584575205,0.0482671327146278,-0.785090792173996,NA,-3.67432596508519,-14.130808832976,-39.416629591954,-5.99998220777729,-34.2397778346517,0.823130450475162,-17.7568676653464,-57.1734972573004
2004,"All",293656842,1360088,16148,95089,NA,401470,847381,10319386,2144446,6937089,1237851,1264999,11584385,463.155563050017,5.49893538663063,32.3809925055313,NA,136.713994901573,288.561640256283,3514.09690634758,730.255758862925,2362.31138111878,421.529766365873,430.774570544486,3944.87147689207,-12.6795318815044,-0.184911445307042,0.0953806878398709,NA,-5.73810410784759,-6.85189701618953,-77.1197015337316,-10.7743962829841,-54.1495510177924,-12.1957542329549,-12.7749125693443,-89.8946141030756
2005,"All",296507061,1390745,16740,94347,NA,417438,862220,10174754,2155448,6783447,1235859,1296398,11471152,469.042792879728,5.64573401508303,31.8194783226427,NA,140.785180154614,290.792400387389,3431.53851570503,726.946600438632,2287.78598969014,416.805925576255,437.223314557086,3868.76183026211,5.88722982971109,0.146798628452403,-0.561514182888626,NA,4.07118525304068,2.23076013110654,-82.5583906425522,-3.30915842429306,-74.5253914286413,-4.72384078961812,6.44874401259966,-76.1096466299527
2006,"All",299398484,1435123,17309,94472,NA,449246,874096,10019601,2194993,6626363,1198245,1340651,11360252,479.335426427877,5.78125839808862,31.5539339871875,NA,150.049523964857,291.950710077744,3346.57706550044,733.134306718801,2213.22530143473,400.217457346912,447.78149244069,3794.35855794113,10.2926335481488,0.135524383005582,-0.265544335455257,NA,9.2643438102439,1.15830969035466,-84.9614502045888,6.1877062801691,-74.5606882554148,-16.5884682293431,10.5581778836041,-74.4032723209848
2007,"All",301621157,1422970,17128,92160,NA,447324,866358,9882212,2190198,6591542,1100472,1330810,11213022,471.773934611623,5.67864674028818,30.5548857767958,NA,148.306572539273,287.233829555266,3276.36565627258,726.142032536531,2185.37123375599,364.852389980057,441.219048834827,3717.58470510741,-7.56149181625455,-0.102611657800433,-0.999048210391635,NA,-1.74295142558432,-4.71688052247811,-70.211409227858,-6.99227418227031,-27.8540676787334,-35.3650673668546,-6.56244360586282,-76.7738528337209
2008,"All",304059724,1394461,16465,90750,NA,443563,843683,9774152,2228887,6586206,959059,1303711,11077863,458.614176733253,5.41505457658049,29.8461101017115,NA,145.880221873779,277.472790181182,3214.55004675332,733.042499242682,2166.08958047992,315.417967030714,428.768066631541,3643.31811338486,-13.1597578783702,-0.263592163707695,-0.708775675084354,NA,-2.4263506654942,-9.76103937408396,-61.8156095192653,6.90046670615106,-19.2816532760735,-49.434422949343,-12.4509822032859,-74.2665917225513
2009,"All",307006550,1325896,15399,89241,NA,408742,812514,9337060,2203313,6338095,795652,1236655,10573715,431.878733531907,5.01585389627681,29.0681094589024,NA,133.137876048573,264.656894128155,3041.32273399379,717.676218960149,2064.48201186587,259.164503167766,402.810624073004,3444.13335806679,-26.7354432013459,-0.399200680303681,-0.77800064280904,NA,-12.7423458252061,-12.8158960530271,-173.227312759529,-15.3662802825324,-101.607568614049,-56.2534638629477,-25.9574425585369,-199.184755318066
2010,"All",309330219,1251248,14722,85593,NA,369089,781844,9112625,2168459,6204601,739565,1165655,10278280,404.50234834638,4.75931515763095,27.6704294448516,NA,119.318765943136,252.753837800761,2945.92136179233,701.017510351939,2005.81793141911,239.085920021283,376.831918901528,3322.75328069386,-27.3763851855267,-0.256538738645861,-1.39768001405081,NA,-13.8191101054369,-11.9030563273932,-95.4013722014552,-16.6587086082104,-58.6640804467611,-20.0785831464831,-25.9787051714759,-121.380077372931
2011,"All",311587816,1206031,14661,84175,NA,354772,752423,9052743,2185140,6151095,716508,1121856,10174599,387.059743054908,4.70525458543604,27.0148560622794,NA,113.859394296727,241.480238110466,2905.3584688305,701.291863093902,1974.11281319164,229.953792544956,360.044886992629,3265.40335582313,-17.4426052914718,-0.054060572194909,-0.655573382572214,NA,-5.45937164640905,-11.2735996902956,-40.5628929618297,0.274352741963412,-31.7051182274663,-9.13212747632693,-16.7870319088996,-57.3499248707299
2012,"All",313873685,1217067,14866,85141,NA,355051,762009,9001992,2109932,6168874,723186,1131926,10133918,387.756941140191,4.73630020942979,27.1258802725052,NA,113.119072087869,242.775688570388,2868.03017589703,672.223286256062,1965.40018956989,230.406700071081,360.631060867686,3228.66123676472,0.697198085283333,0.0310456239937533,0.111024210225761,NA,-0.740322208858217,1.29545045992199,-37.3282929334682,-29.0685768378403,-8.71262362175298,0.452907526124932,0.586173875057511,-36.74211905841
2013,"All",316497531,1199684,14319,82109,113695,345095,726575,8650761,1931835,6018632,700294,1085989,9736750,379.05003435872,4.52420590920818,25.9430143864219,35.9228710697272,109.035605715357,229.567351664427,2733.27914207331,610.379169119016,1901.63631955789,221.263653396399,343.127163288993,3076.4063053623,-8.70690678147162,-0.212094300221607,-1.1828658860833,NA,-4.08346637251165,-13.2083369059604,-134.751033823726,-61.8441171370459,-63.7638700119974,-9.14304667468232,-17.5038975786937,-152.25493140242
2014,"All",318857056,1197987,14249,84041,116645,325802,741291,8277829,1729806,5858496,689527,1081342,9359171,375.712871161929,4.46877361873403,26.3569516241159,36.5822232266988,102.178074428436,232.48379988806,2596.0940315525,542.502029498761,1837.34243597858,216.249566075151,339.13064793523,2935.22467948773,-3.33716319679081,-0.0554322904741502,0.41393723769399,0.659352156971565,-6.85753128692104,2.91644822363281,-137.185110520811,-67.8771396202552,-64.2938835793079,-5.01408732124824,-3.99651535376233,-141.181625874573
2015,"All",320896618,1234183,15883,91261,126134,328109,764057,8024115,1587564,5723488,713063,1108049,9132164,384.604551986896,4.9495691475315,28.4393773199567,39.3067402162525,102.247571833244,238.100670789868,2500.52962540104,494.727557396694,1783.59249644694,222.209571557404,345.297811770643,2845.82743717168,8.89168082496661,0.480795528797463,2.08242569584082,2.72451698955365,0.0694974048077768,5.61687090180774,-95.5644061514581,-47.7744721020667,-53.7499395316447,5.96000548225362,6.16716383541291,-89.3972423160453
2016,"All",323405935,1285606,17413,NA,132414,332797,802982,7928530,1516405,5644835,767290,1153192,9081722,397.520843270857,5.3842549302628,NA,40.9435899808085,102.903801069699,248.289197290087,2451.57220135741,468.885952881477,1745.4333359714,237.252912504528,356.577253290049,2808.14945464745,12.9162912839615,0.434685782731302,NA,1.63684976455603,0.656229236455175,10.1885265002189,-48.9574240436327,-25.841604515217,-38.1591604755392,15.0433409471236,11.2794415194055,-37.677982524227
2017,"All",325719178,1283220,17284,NA,135755,319356,810825,7694086,1401840,5519107,773139,1147465,8841551,393.965135206131,5.30641152483812,NA,41.6785406476741,98.0464220623816,248.933760971238,2362.18390554823,430.383009255906,1694.43722469421,237.363671598115,352.286594558457,2714.47050010669,-3.55570806472565,-0.0778434054246748,NA,0.734950666865629,-4.85737900731739,0.6445636811508,-89.3882958091731,-38.5029436255713,-50.9961112771889,0.110759093587347,-4.29065873159129,-93.6789545407642
