"year","state","population","violent.crime.total","murder.and.nonnegligent.manslaughter.total","legacy.rape.total","revised.rape.total","robbery.total","aggravated.assault.total","property.crime.total","burglary.total","larceny.theft.total","motor.vehicle.theft.total","violent.nr.crime.total","aggregate.crime.total","violent.crime.rate","murder.and.nonnegligent.manslaughter.rate","legacy.rape.rate","revised.rape.rate","robbery.rate","aggravated.assault.rate","property.crime.rate","burglary.rate","larceny.theft.rate","motor.vehicle.theft.rate","violent.nr.crime.rate","aggregate.crime.rate","violent.crime.rate.chg","murder.and.nonnegligent.manslaughter.rate.chg","legacy.rape.rate.chg","revised.rape.rate.chg","robbery.rate.chg","aggravated.assault.rate.chg","property.crime.rate.chg","burglary.rate.chg","larceny.theft.rate.chg","motor.vehicle.theft.rate.chg","violent.nr.crime.rate.chg","aggregate.crime.rate.chg"
1995,"California",31589000,305154,3531,10554,NA,104611,186458,1536830,353895,902456,280479,294600,1831430,966.01348570705,11.1779416885625,33.4103643673431,NA,331.162746525689,590.262433125455,4865.07961632214,1120.31086770711,2856.86789705277,887.900851562253,932.603121339707,5797.68273766184,-46.9832372734471,-0.603420660710537,-1.5360261388451,NA,-25.6824063488613,-19.1613841250302,-295.755228258054,-102.230572272525,-100.849006641034,-92.6756493444954,-45.4472111346018,-341.202439392656
1996,"California",31878000,274996,2916,10244,NA,94222,167614,1385135,312212,830457,242466,264752,1649887,862.651358303532,9.14737436476567,32.1350147437104,NA,295.570612961917,525.798356233139,4345.11261685175,979.396448961666,2605.11010728402,760.606060606061,830.516343559822,5175.62896041157,-103.362127403518,-2.0305673237968,-1.27534962363267,NA,-35.592133563772,-64.4640768923161,-519.966999470391,-140.914418745447,-251.757789768751,-127.294790956192,-102.086777779885,-622.053777250276
1997,"California",32268000,257582,2579,10189,NA,81468,163346,1312367,299240,784405,228722,247393,1559760,798.258336432379,7.99243832899467,31.5761745382422,NA,252.473038304202,506.21668526094,4067.08503780836,927.358373620925,2430.90678071154,708.819883475889,766.682161894137,4833.76719970249,-64.3930218711535,-1.154936035771,-0.558840205468172,NA,-43.097574657715,-19.5816709721992,-278.027579043392,-52.0380753407416,-174.203326572479,-51.7861771301712,-63.8341816656853,-341.861760709077
1998,"California",32667000,229883,2171,9782,NA,68782,149148,1188791,269012,724262,195517,220101,1408892,703.7162886093,6.64585055254538,29.9445924021183,NA,210.554994336793,456.570851317844,3639.11898858175,823.497719411026,2217.10594789849,598.515321272232,673.771696207182,4312.89068478893,-94.5420478230789,-1.34658777644929,-1.63158213612387,NA,-41.9180439674098,-49.6458339430959,-427.966049226606,-103.860654209898,-213.80083281305,-110.304562203658,-92.910465686955,-520.876514913561
1999,"California",33145121,207879,2005,9363,NA,60039,136472,1053285,223814,660991,168480,198516,1251801,627.178280628392,6.04915577167451,28.2485014913658,NA,181.139782232202,411.740841133149,3177.79802342553,675.254738095541,1994.23317839147,508.310106938514,598.929779137026,3776.72780256256,-76.5380079809082,-0.596694780870872,-1.69609091075255,NA,-29.4152121045901,-44.8300101846947,-461.32096515622,-148.242981315486,-222.872769507017,-90.2052143337175,-74.8419170701557,-536.162882226376
2000,"California",33871648,210531,2079,9785,NA,60249,138418,1056183,222293,651855,182035,200746,1256929,621.555231088845,6.13787672805291,28.8884674285703,NA,177.874427603877,408.654459328344,3118.19194625546,656.280438436299,1924.48563471137,537.425873107798,592.666763660274,3710.85870991574,-5.62304953954708,0.0887209563784035,0.639965937204543,NA,-3.26535462832558,-3.08638180480455,-59.606077170065,-18.9742996592413,-69.7475436801074,29.1157661692836,-6.26301547675166,-65.8690926468171
2001,"California",34600463,212867,2206,9960,NA,64614,136087,1134189,232273,697739,204177,202907,1337096,615.214310860522,6.37563722774461,28.7857419711407,NA,186.743165835671,393.309765825966,3277.95902615523,671.30026554847,2016.55972060258,590.099040004176,586.428568889382,3864.38759504461,-6.34092022832237,0.237760499691698,-0.102725457429671,NA,8.8687382317942,-15.3446935023785,159.767079899763,15.0198271121704,92.0740858912156,52.6731668963777,-6.23819477089262,153.528885128872
2002,"California",35001986,208388,2395,10198,NA,64968,130827,1176484,238428,715692,222364,198190,1374674,595.360503258301,6.84246888162289,29.1354896262172,NA,185.612324969217,373.770219781243,3361.1921334978,681.184204804836,2044.71826255802,635.289666134944,566.225013632084,3927.41714712988,-19.8538076022214,0.466831653878278,0.349747655076531,NA,-1.13084086645358,-19.5395460447227,83.2331073425689,9.88393925636615,28.1585419554333,45.1906261307688,-20.2035552572979,63.0295520852701
2003,"California",35462712,205551,2407,9994,NA,63770,129380,1215086,242274,731486,241326,195557,1410643,579.625720672463,6.78741095717665,28.1817137956059,NA,179.822682484069,364.833913435611,3426.37641475362,683.179560547992,2062.6905240637,680.506330141925,551.444006876857,3977.82042163047,-15.7347825858378,-0.0550579244462357,-0.953775830611278,NA,-5.78964248514799,-8.93630634563237,65.1842812558189,1.9953557431561,17.9722615056826,45.2166640069803,-14.7810067552266,50.403274500592
2004,"California",35842038,189175,2392,9615,NA,61768,115400,1227194,245903,728687,252604,179560,1406754,527.802018400851,6.67372764908067,26.8260415325713,NA,172.333950429939,321.96829878926,3423.89570593056,686.074268433062,2033.05124557928,704.770191918216,500.97597686828,3924.87168279884,-51.8237022716121,-0.113683308095984,-1.35567226303459,NA,-7.4887320541302,-42.8656146463512,-2.48070882305456,2.89470788506981,-29.6392784844152,24.2638617762915,-50.4680300085775,-52.9487388316311
