"year","state","population","violent.crime.total","murder.and.nonnegligent.manslaughter.total","legacy.rape.total","revised.rape.total","robbery.total","aggravated.assault.total","property.crime.total","burglary.total","larceny.theft.total","motor.vehicle.theft.total","violent.nr.crime.total","aggregate.crime.total","violent.crime.rate","murder.and.nonnegligent.manslaughter.rate","legacy.rape.rate","revised.rape.rate","robbery.rate","aggravated.assault.rate","property.crime.rate","burglary.rate","larceny.theft.rate","motor.vehicle.theft.rate","violent.nr.crime.rate","aggregate.crime.rate","violent.crime.rate.chg","murder.and.nonnegligent.manslaughter.rate.chg","legacy.rape.rate.chg","revised.rape.rate.chg","robbery.rate.chg","aggravated.assault.rate.chg","property.crime.rate.chg","burglary.rate.chg","larceny.theft.rate.chg","motor.vehicle.theft.rate.chg","violent.nr.crime.rate.chg","aggregate.crime.rate.chg"
1989,"Kansas",2513000,10073,138,917,NA,2508,6510,115146,29871,77802,7473,9156,124302,400.8356545961,5.49144448865897,36.4902506963788,NA,99.8010346199761,259.052924791086,4582.01352964584,1188.65897333864,3095.98089932352,297.373656983685,364.345403899721,4946.35893354556,35.6165150705676,2.07367207209283,5.16737172573147,NA,13.9144242460316,14.4610470267116,67.3372127982348,9.68832597233427,2.81644415665005,54.8324426692498,30.449143344836,97.7863561430695
1990,"Kansas",2477574,11093,98,1002,NA,2914,7079,117571,28901,80361,8309,10091,127662,447.736374372673,3.95548225804759,40.4427879853437,NA,117.615054081129,285.723050048152,4745.40820980524,1166.50400754932,3243.53581366288,335.368388593035,407.293586387329,5152.70179619257,46.9007197765723,-1.53596223061138,3.9525372889649,NA,17.8140194611533,26.6701252570656,163.394680159395,-22.1549657893188,147.554914339364,37.9947316093501,42.9481824876074,206.342862647003
1991,"Kansas",2495000,12465,153,1118,NA,3453,7741,125616,32601,84258,8757,11347,136963,499.599198396794,6.13226452905812,44.809619238477,NA,138.396793587174,310.260521042084,5034.70941883768,1306.65330661323,3377.07414829659,350.981963927856,454.789579158317,5489.49899799599,51.862824024121,2.17678227101053,4.36683125313323,NA,20.781739506045,24.5374709939322,289.301209032438,140.149299063906,133.538334633712,15.6135753348207,47.4959927709878,336.797201803426
1992,"Kansas",2523000,12888,151,1042,NA,3277,8418,121334,32639,80526,8169,11846,133180,510.820451843044,5.98493856520016,41.3000396353547,NA,129.885057471264,333.650416171225,4809.11613158938,1293.65834324217,3191.67657550535,323.781212841855,469.520412207689,5278.63654379707,11.2212534462504,-0.147325963857958,-3.50957960312222,NA,-8.51173611591,23.3898951291405,-225.593287248297,-12.9949633710546,-185.397572791243,-27.2007510860008,14.7308330493727,-210.862454198925
1993,"Kansas",2531000,12564,161,1016,NA,3128,8259,113360,28655,76538,8167,11548,124908,496.404583168708,6.36112208613196,40.1422362702489,NA,123.587514816278,326.313709996049,4478.86210983801,1132.16120110628,3024.02212564204,322.678783089688,456.262346898459,4935.12445673647,-14.4158686743359,0.376183520931805,-1.15780336510582,NA,-6.2975426549862,-7.33670617517572,-330.254021751369,-161.49714213589,-167.654449863312,-1.10242975216704,-13.2580653092302,-343.5120870606
1994,"Kansas",2554000,11314,170,1055,NA,2940,7149,112477,28635,75459,8383,10259,122736,442.991386061081,6.65622552858262,41.3077525450274,NA,115.113547376664,279.913860610807,4403.95458104933,1121.18245888802,2954.54189506656,328.230227094753,401.683633516053,4805.63821456539,-53.4131971076275,0.295103442450652,1.16551627477849,NA,-8.47396743961411,-46.3998493852424,-74.9075287886744,-10.9787422182633,-69.4802305754765,5.55144400506543,-54.5787133824059,-129.48624217108
1995,"Kansas",2565000,10792,159,938,NA,2775,6920,114558,27404,78855,8299,9854,124412,420.740740740741,6.19883040935673,36.5692007797271,NA,108.187134502924,269.785575048733,4466.19883040936,1068.3820662768,3074.26900584795,323.5477582846,384.171539961014,4850.37037037037,-22.2506453203399,-0.45739511922589,-4.73855176530031,NA,-6.92641287374006,-10.1282855620736,62.244249360022,-52.8003926112156,119.727110781391,-4.68246881015295,-17.5120935550396,44.7321558049825
1996,"Kansas",2572000,10642,170,1096,NA,2476,6900,109772,25239,78145,6388,9546,119318,413.763608087092,6.60964230171073,42.6127527216174,NA,96.2674961119751,268.273716951789,4267.96267496112,981.298600311042,3038.29704510109,248.367029548989,371.150855365474,4639.11353032659,-6.97713265364894,0.410811892354005,6.04355194189032,NA,-11.9196383909489,-1.51185809694442,-198.236155448237,-87.0834659657613,-35.9719607468646,-75.1807287356113,-13.0206845955393,-211.256840043777
1997,"Kansas",2595000,11151,150,1179,NA,2535,7287,122553,24292,91823,6438,9972,132525,429.71098265896,5.78034682080925,45.4335260115607,NA,97.6878612716763,280.809248554913,4722.65895953757,936.107899807322,3538.45857418112,248.092485549133,384.277456647399,5106.93641618497,15.9473745718678,-0.829295480901481,2.82077328994328,NA,1.42036515970119,12.5355316031248,454.696284576452,-45.1907005037201,500.161529080029,-0.274543999856149,13.1266012819245,467.822885858378
1998,"Kansas",2629000,10972,173,1128,NA,2287,7384,117114,24984,85329,6801,9844,126958,417.344998098136,6.58044883986307,42.9060479269684,NA,86.9912514263979,280.867249904907,4454.69760365158,950.323316850513,3245.68276911373,258.691517687334,374.438950171168,4829.13655382275,-12.3659845608234,0.800102019053817,-2.52747808459226,NA,-10.6966098452784,0.0580013499935603,-267.961355885993,14.2154170431917,-292.775805067387,10.5990321382006,-9.83850647623115,-277.799862362225
