"county","year","total.pop","property.sum","violent.nr.sum","totalcrime.sum","st.le.sum","cnty.le.sum","prosecution.sum","publicdefense.sum","probationdept.sum","st.le.sum_per.crime","cnty.le.sum_per.crime","prosecution.sum_per.crime","publicdefense.sum_per.crime","probationdept.sum_per.crime"
"Del Norte",2004,27950,924,157,1081,70,70,10,NA,34,647.548566142461,647.548566142461,92.5069380203515,NA,314.523589269195
"Del Norte",2005,28281,804,84,888,72,72,13,NA,27,810.810810810811,810.810810810811,146.396396396396,NA,304.054054054054
"Del Norte",2006,28211,667,73,740,70,70,13,NA,30,945.945945945946,945.945945945946,175.675675675676,NA,405.405405405405
"Del Norte",2007,28415,514,60,574,75,75,12,NA,32,1306.62020905923,1306.62020905923,209.059233449477,NA,557.491289198606
"Del Norte",2008,28496,580,96,676,79,79,12,NA,34,1168.63905325444,1168.63905325444,177.514792899408,NA,502.958579881657
"Del Norte",2009,28599,643,86,729,77,77,10,NA,34,1056.2414266118,1056.2414266118,137.174211248285,NA,466.39231824417
"Del Norte",2010,28610,747,84,831,78,78,10,NA,41,938.628158844765,938.628158844765,120.336943441637,NA,493.38146811071
"Del Norte",2011,28447,761,140,901,68,68,10,NA,43,754.716981132075,754.716981132075,110.987791342952,NA,477.247502774695
"Del Norte",2012,28203,687,133,820,69,69,11,NA,41,841.463414634146,841.463414634146,134.146341463415,NA,500
"Del Norte",2013,27830,589,155,744,66,66,11,0,45,887.096774193548,887.096774193548,147.849462365591,0,604.838709677419
"Del Norte",2014,27206,649,137,786,66,66,11,0,41,839.69465648855,839.69465648855,139.949109414758,0,521.628498727735
"Del Norte",2015,27253,592,116,708,65,65,10,0,38,918.079096045198,918.079096045198,141.242937853107,0,536.723163841808
"Del Norte",2016,27450,608,136,744,65,65,14,0,41,873.655913978495,873.655913978495,188.172043010753,0,551.075268817204
"Del Norte",2017,27470,692,122,814,64,64,9,0,38,786.240786240786,786.240786240786,110.565110565111,0,466.830466830467
"El Dorado",2003,168331,3588,437,4025,478,478,52,17,76,1187.57763975155,1187.57763975155,129.192546583851,42.2360248447205,188.819875776398
"El Dorado",2004,171653,4106,422,4528,472,472,50,17,72,1042.40282685512,1042.40282685512,110.424028268551,37.5441696113074,159.010600706714
"El Dorado",2005,175003,3632,461,4093,482,482,51,19,89,1177.62032738822,1177.62032738822,124.602980698754,46.4207182995358,217.444417297826
"El Dorado",2006,176773,3488,574,4062,457,457,59,30,123,1125.06154603644,1125.06154603644,145.248645987198,73.8552437223043,302.806499261448
"El Dorado",2007,177694,3112,432,3544,458,458,73,32,127,1292.32505643341,1292.32505643341,205.981941309255,90.293453724605,358.352144469526
"El Dorado",2008,179150,3080,422,3502,495,495,64,35,124,1413.47801256425,1413.47801256425,182.75271273558,99.9428897772701,354.083380925186
"El Dorado",2009,180455,2650,470,3120,467,467,69,31,121,1496.79487179487,1496.79487179487,221.153846153846,99.3589743589744,387.820512820513
"El Dorado",2010,181058,2780,451,3231,431,431,50,18,113,1333.95233673785,1333.95233673785,154.750851129681,55.7103064066852,349.73692355308
"El Dorado",2011,180975,3093,360,3453,415,415,53,19,110,1201.85346075876,1201.85346075876,153.489719084854,55.0246162757023,318.563567911961
"El Dorado",2012,180680,2951,418,3369,422,422,56,17,123,1252.59720985456,1252.59720985456,166.2214306916,50.4600771742357,365.093499554764
"El Dorado",2013,181618,3272,353,3625,421,421,57,18,117,1161.37931034483,1161.37931034483,157.241379310345,49.6551724137931,322.758620689655
"El Dorado",2014,183333,3138,361,3499,417,417,56,24,127,1191.76907687911,1191.76907687911,160.045727350672,68.5910260074307,362.960845955987
"El Dorado",2015,184865,3151,284,3435,422,422,54,23,121,1228.52983988355,1228.52983988355,157.205240174672,66.957787481805,352.256186317322
"El Dorado",2016,186272,3042,318,3360,431,431,54,22,116,1282.7380952381,1282.7380952381,160.714285714286,65.4761904761905,345.238095238095
"El Dorado",2017,188987,2934,239,3173,436,436,56,23,118,1374.0939174283,1374.0939174283,176.48912700914,72.4866057358966,371.887803340687
"Fresno",2003,847193,42465,4783,47248,2541,2541,243,102,656,537.800541821876,537.800541821876,51.4307483914663,21.5882153741957,138.841855739926
"Fresno",2004,861035,42199,4897,47096,2613,2613,246,99,646,554.824188890776,554.824188890776,52.2337353490742,21.0208934941396,137.166638355699
"Fresno",2005,872470,41890,5319,47209,2723,2723,257,111,558,576.796797220869,576.796797220869,54.4387722679997,23.5124658433773,118.197801266708
"Fresno",2006,883862,39437,4681,44118,2790,2790,264,111,548,632.394940840473,632.394940840473,59.8395212838297,25.1597987216102,124.212339634616
"Fresno",2007,895933,35941,4267,40208,2916,2916,295,125,583,725.228810187027,725.228810187027,73.3684838838042,31.0883406287306,144.9960206924
"Fresno",2008,909630,37249,4115,41364,3059,3059,286,127,600,739.531960158592,739.531960158592,69.1422492989073,30.7030267865777,145.053669857847
"Fresno",2009,921478,35152,4516,39668,2951,2951,252,104,546,743.9245739639,743.9245739639,63.5272763940708,26.2176061308864,137.642432187153
"Fresno",2010,930450,39398,4795,44193,2597,2597,216,90,545,587.649627769104,587.649627769104,48.876518905709,20.3652162107121,123.322698164868
"Fresno",2011,940360,41761,5631,47392,2583,2583,216,82,481,545.028696826469,545.028696826469,45.5773126266036,17.3024983119514,101.493923024983
"Fresno",2012,946851,41853,4934,46787,2589,2589,197,87,512,553.358838993738,553.358838993738,42.1057131254408,18.5949088421998,109.432107209268
"Fresno",2013,953787,36698,4705,41403,2598,2598,216,87,515,627.490761539019,627.490761539019,52.170132599087,21.0129700746323,124.387121706157
"Fresno",2014,963170,32535,4364,36899,2634,2634,234,87,509,713.840483481937,713.840483481937,63.4163527466869,23.5778747391528,137.944117726768
